#separator:Tab				
#html:true				
#notetype column:1				
#deck column:2				
#tags column:5				
Básico	Ciência da Computação::Banco de Dados::Conceitos Básicos      	Abordagem de modelagem                                                                                                                                                                          	Conjunto de conceitos utilizados para construir modelos.                                                                                                    	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Conceitos Básicos      	Banco de dados                                                                                                                                                                                  	Conjunto de dados integrados que atendem a uma comunidade de usuários.                                                                                      	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Desempenho e Otimização	O que é o balanceamento de carga em um ambiente de servidores?                                                                                                                                  	Balanceamento de carga distribui requisições entre múltiplos servidores para melhorar a performance e disponibilidade do sistema.                           	Balanceamento de Carga, Banco de Dados, Desempenho 
Básico	Ciência da Computação::Banco de Dados::Desempenho e Otimização	Monitorar e ajustar o desempenho do banco de dados, a fim de otimizar o tempo de resposta das consultas, é uma das técnicas para a detecção de problemas e a otimização de desempenho?          	Sim, a otimização de consultas e a indexação são técnicas essenciais para melhorar a performance do banco de dados.                                         	Banco de Dados, Otimização, Monitoramento          
Básico	Ciência da Computação::Banco de Dados::Linguagens SQL         	O que é DDL?                                                                                                                                                                                    	DDL (Data Definition Language) é uma linguagem usada para definir e modificar a estrutura de banco de dados, incluindo comandos como CREATE, ALTER e DROP.  	DDL, Banco de Dados, SQL                           
Básico	Ciência da Computação::Banco de Dados::Linguagens SQL         	O que é DML?                                                                                                                                                                                    	DML (Data Manipulation Language) é uma linguagem usada para manipular dados dentro de um banco, incluindo comandos como INSERT, UPDATE e DELETE.            	DML, Banco de Dados, SQL                           
Básico	Ciência da Computação::Banco de Dados::Linguagens SQL         	O que é DCL?                                                                                                                                                                                    	DCL (Data Control Language) é uma linguagem que controla permissões e acessos no banco de dados, incluindo os comandos GRANT e REVOKE.                      	DCL, Banco de Dados, Segurança                     
Básico	Ciência da Computação::Banco de Dados::Linguagens SQL         	O que é DQL?                                                                                                                                                                                    	DQL (Data Query Language) é a linguagem responsável por consultas ao banco de dados, sendo o comando SELECT seu principal representante.                    	DQL, Banco de Dados, SQL                           
Básico	Ciência da Computação::Banco de Dados::Linguagens SQL         	A DML não procedimental exige que um usuário especifique quais dados são necessários sem especificar como obtê-los?                                                                             	Sim, a DML não procedimental permite que os usuários façam consultas sem definir explicitamente o plano de execução.                                        	DML, SQL, Banco de Dados                           
Básico	Ciência da Computação::Banco de Dados::Modelagem              	O que é uma tabela de dimensão?                                                                                                                                                                 	Uma tabela de dimensão armazena dados descritivos que ajudam na análise e categorização de dados em um Data Warehouse.                                      	Tabela de Dimensão, Data Warehouse, BI             
Básico	Ciência da Computação::Banco de Dados::Modelagem              	O que é Atributos Simples (ou Atômicos)?                                                                                                                                                        	Atributos simples armazenam um único valor por instância e não podem ser decompostos, como o CPF de uma pessoa.                                             	Atributos Simples, Modelagem, Banco de Dados       
Básico	Ciência da Computação::Banco de Dados::Modelagem              	O que é Atributos Compostos?                                                                                                                                                                    	Atributos compostos podem ser divididos em subatributos menores, como Nome Completo (Nome e Sobrenome).                                                     	Atributos Compostos, Modelagem, Banco de Dados     
Básico	Ciência da Computação::Banco de Dados::Modelagem              	O que é Atributos Monovalorados?                                                                                                                                                                	Atributos monovalorados possuem um único valor para cada entidade, como a data de nascimento de uma pessoa.                                                 	Atributos Monovalorados, Modelagem, Banco de Dados 
Básico	Ciência da Computação::Banco de Dados::Modelagem              	O que são Atributos Multivalorados?                                                                                                                                                             	Atributos multivalorados podem armazenar múltiplos valores, como os telefones de um cliente.                                                                	Atributos Multivalorados, Modelagem, Banco de Dados
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Modelo conceitual                                                                                                                                                                               	Modelo abstrato que descreve a estrutura de um banco de dados de forma independente de um SGBD específico.                                                  	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Modelo de dados                                                                                                                                                                                 	Descrição formal da estrutura de um banco de dados.                                                                                                         	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Modelo lógico                                                                                                                                                                                   	Representação da estrutura de dados de um banco de dados conforme vista pelo usuário do SGBD.                                                               	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Sistemas               	Sistema de Gerenciamento de Banco de Dados (SGBD)                                                                                                                                               	Software que gerencia a definição, recuperação e alteração de dados em um banco de dados.                                                                   	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Transações e ACID      	Analise a afirmativa: A fim de garantir o desfazimento das operações em um SGBD, o ciclo iniciado pelo comando BEGIN TRANSACTION necessita do complemento dos comandos COMMIT, ROLLBACK e CATCH.	A afirmativa está correta, pois esses comandos permitem confirmar, desfazer ou tratar exceções em transações do banco de dados.                             	SGBD, Transações, Banco de Dados                   
Básico	Ciência da Computação::Banco de Dados::Transações e ACID      	O que é ACID?                                                                                                                                                                                   	ACID (Atomicidade, Consistência, Isolamento e Durabilidade) são propriedades que garantem a confiabilidade das transações em um banco de dados.             	ACID, Transações, Banco de Dados                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Atributo                                                                                                                                                                                        	Dado que é associado a cada ocorrência de uma entidade ou de um relacionamento.                                                                             	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Cardinalidade (mínima, máxima) de entidade em relacionamento                                                                                                                                    	Número (mínimo, máximo) de ocorrências de entidade associadas a uma ocorrência da entidade em questão através do relacionamento.                            	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Entidade                                                                                                                                                                                        	Conjunto de objetos da realidade modelada sobre os quais deseja-se manter informações no banco de dados.                                                    	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Identificador de entidade                                                                                                                                                                       	Conjunto de um ou mais atributos e relacionamentos cujos valores servem para distinguir uma ocorrência da entidade das demais ocorrências da mesma entidade.	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Papel de entidade em relacionamento                                                                                                                                                             	Função que uma instância da entidade cumpre dentro de uma instância do relacionamento.                                                                      	Projeto_de_Banco_de_Dados_Heuser                   
Básico	Ciência da Computação::Banco de Dados::Modelagem              	Relacionamento                                                                                                                                                                                  	Conjunto de associações entre ocorrências de entidades.                                                                                                     	Projeto_de_Banco_de_Dados_Heuser                   
